id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute,profit_net,mois,indicateur_retour,nombre_commandes_par_client,valeur_vie_client
CMD100024,2025-09-15,C1039,Dakar,Électronique,Produit_Électronique_24,243.32,2,0.07,8.47,Mobile Money,Influenceur,8.7,Livrée,452.57519999999994,158.40131999999997,141.23131999999998,2025-09,0,4,2210.0907
CMD100025,2025-08-11,C0398,Cotonou,Beauté,Produit_Beauté_39,18.99,1,0.05,2.41,Carte,Instagram Ads,11.28,Livrée,18.040499999999998,6.314174999999999,-7.375825000000001,2025-08,0,13,2892.93325
CMD100026,2025-09-21,C0057,Kinshasa,Maison,Produit_Maison_16,57.58,3,0.17,2.3,Virement,Instagram Ads,10.43,Livrée,143.3742,50.180969999999995,37.45097,2025-09,0,16,3719.3914999999997
CMD100027,2025-07-15,C0290,Abidjan,Beauté,Produit_Beauté_47,41.0,1,0.08,6.25,Carte,Email,1.43,Livrée,37.72,13.201999999999998,5.5219999999999985,2025-07,0,21,3863.6962
CMD100028,2025-11-02,C1557,Dakar,Électronique,Produit_Beauté_9,8.8,1,0.16,5.43,Mobile Money,Instagram Ads,12.44,Livrée,7.392,2.5872,-15.282799999999998,2025-11,0,1,7.392
CMD100029,2025-12-16,C0281,Kinshasa,Beauté,Produit_Beauté_14,26.49,2,0.11,9.64,Paiement à la livraison,Instagram Ads,10.49,Livrée,47.1522,16.50327,-3.6267300000000002,2025-12,0,14,3892.0984
CMD100030,2025-11-16,C1412,Douala,Maison,Produit_Maison_29,66.93,2,0.24,8.84,Virement,Instagram Ads,5.14,Livrée,101.73360000000001,35.60676,21.62676,2025-11,0,3,418.9671
CMD100031,2025-11-10,C0126,Douala,Maison,Produit_Maison_38,193.75,2,0.08,9.59,Mobile Money,Google Ads,6.25,Livrée,356.5,124.77499999999999,108.93499999999999,2025-11,0,14,5554.291700000001
CMD100032,2025-08-26,C0362,Kinshasa,Maison,Produit_Maison_5,220.2775,1,0.07,6.6,Mobile Money,Instagram Ads,11.42,Livrée,204.85807499999999,71.70032624999999,53.68032624999999,2025-08,0,13,3976.922475
CMD100033,2025-07-09,C0145,Dakar,Mode,Produit_Mode_43,41.26,1,0.1,4.19,Virement,Google Ads,6.26,Livrée,37.134,12.9969,2.546899999999999,2025-07,0,15,3786.3293
CMD100034,2025-11-02,C0067,Abidjan,Électronique,Produit_Électronique_16,413.24,3,0.13,2.95,Paiement à la livraison,Instagram Ads,13.45,Livrée,1078.5564,377.49474,361.09474,2025-11,0,20,8617.5571
CMD100036,2025-10-17,C0373,Kinshasa,Beauté,Produit_Beauté_4,28.94,3,0.09,9.22,Carte,Influenceur,5.65,Livrée,79.0062,27.65217,12.782169999999999,2025-10,0,21,4226.0977
CMD100037,2025-10-12,C1639,Kinshasa,Mode,Produit_Mode_13,17.09,2,0.07,9.65,Mobile Money,Instagram Ads,5.53,Livrée,31.787399999999998,11.125589999999999,-4.054410000000002,2025-10,0,4,612.8174
CMD100038,2025-08-18,C0071,Douala,Beauté,Produit_Beauté_5,18.17,1,0.1,2.73,Mobile Money,Instagram Ads,11.73,Livrée,16.353,5.72355,-8.73645,2025-08,0,15,3219.3307999999997
CMD100039,2025-10-22,C1753,Kinshasa,Mode,Produit_Mode_42,39.79,3,0.23,8.7,Carte,Instagram Ads,10.46,Livrée,91.9149,32.170215,13.010214999999999,2025-10,0,2,158.5347
CMD100040,2025-11-16,C1984,Cotonou,Maison,Produit_Maison_11,62.42,1,0.07,4.97,Mobile Money,Google Ads,7.93,Livrée,58.050599999999996,20.317709999999998,7.41771,2025-11,0,3,212.885
CMD100041,2025-10-13,C0109,Libreville,Beauté,Produit_Beauté_11,21.93,1,0.04,3.99,Carte,Email,1.22,Livrée,21.052799999999998,7.368479999999999,2.158479999999999,2025-10,0,8,1587.7277
CMD100042,2025-10-06,C0199,Abidjan,Mode,Produit_Mode_19,31.39,2,0.08,9.7,Paiement à la livraison,Instagram Ads,6.18,Livrée,57.757600000000004,20.21516,4.335160000000002,2025-10,0,12,3015.8170999999998
CMD100043,2025-10-17,C1496,Kinshasa,Mode,Produit_Mode_10,17.62,1,0.29,6.22,Paiement à la livraison,Instagram Ads,5.12,Livrée,12.5102,4.37857,-6.96143,2025-10,0,2,140.1902
CMD100044,2025-08-18,C0029,Kinshasa,Maison,Produit_Maison_48,138.95,2,0.1,7.9,Carte,Instagram Ads,7.94,Livrée,250.10999999999999,87.53849999999998,71.69849999999998,2025-08,0,12,4442.9837
CMD100048,2025-07-21,C0298,Abidjan,Beauté,Produit_Beauté_17,27.07,1,0.04,10.0,Virement,Email,0.58,Livrée,25.987199999999998,9.095519999999999,-1.4844800000000014,2025-07,0,14,2491.3373
CMD100049,2025-08-22,C0643,Douala,Maison,Produit_Maison_30,169.3,1,0.08,4.2,Virement,Google Ads,4.03,Livrée,155.75600000000003,54.51460000000001,46.284600000000005,2025-08,0,3,687.3199999999999
CMD100050,2025-09-19,C1916,Cotonou,Électronique,Produit_Électronique_40,375.34000000000003,3,0.09,3.07,Paiement à la livraison,Email,1.34,Retournée,1024.6782,358.63737,354.22737,2025-09,1,3,1196.1306
CMD100051,2025-11-22,C0150,Lomé,Électronique,Produit_Électronique_9,375.34000000000003,1,0.08,7.09,Virement,Google Ads,7.9,Livrée,345.31280000000004,120.85948,105.86948,2025-11,0,16,4194.6975
CMD100052,2025-09-28,C1800,Kinshasa,Mode,Produit_Mode_11,45.4,1,0.15,9.41,Virement,Google Ads,7.75,Livrée,38.589999999999996,13.506499999999997,-3.653500000000003,2025-09,0,5,2004.2668
CMD100053,2025-10-21,C1440,Abidjan,Mode,Produit_Mode_43,65.78,1,0.17,3.03,Carte,Influenceur,5.21,Livrée,54.5974,19.10909,10.869089999999996,2025-10,0,3,419.2319
CMD100054,2025-11-19,C0339,Kinshasa,Électronique,Produit_Électronique_17,443.99,1,0.1,3.35,Mobile Money,Influenceur,4.65,Retournée,399.591,139.85684999999998,131.85684999999998,2025-11,1,17,3765.4956
CMD100055,2025-07-30,C1520,Kinshasa,Électronique,Produit_Électronique_19,287.21,1,0.05,4.57,Virement,Email,1.84,Livrée,272.8495,95.49732499999999,89.08732499999999,2025-07,0,5,1475.8953999999999
CMD100056,2025-12-02,C0175,Douala,Électronique,Produit_Électronique_33,414.7,3,0.01,3.67,Virement,Influenceur,6.95,Livrée,1231.6589999999999,431.08064999999993,420.46064999999993,2025-12,0,10,3050.3889
CMD100057,2025-11-03,C0026,Douala,Mode,Produit_Mode_18,69.6,2,0.18,7.5,Paiement à la livraison,Google Ads,3.74,Annulée,114.144,39.9504,28.7104,2025-11,0,23,4838.6816
CMD100059,2025-10-22,C0218,Douala,Mode,Produit_Mode_35,15.11,2,0.1,5.45,Mobile Money,Google Ads,5.93,Livrée,27.198,9.5193,-1.8607000000000005,2025-10,0,16,5117.3332
CMD100060,2025-07-10,C1192,Abidjan,Électronique,Produit_Électronique_9,567.49,2,0.17,4.92,Paiement à la livraison,Instagram Ads,8.3,Livrée,942.0333999999999,329.71169,316.49168999999995,2025-07,0,1,942.0333999999999
CMD100061,2025-07-11,C0020,Cotonou,Mode,Produit_Mode_44,40.15,2,0.09,9.86,Mobile Money,Instagram Ads,13.97,Livrée,73.073,25.575549999999996,1.7455499999999962,2025-07,0,10,2205.4971
CMD100062,2025-09-02,C0724,Abidjan,Électronique,Produit_Électronique_40,330.79,2,0.09,3.5,Paiement à la livraison,Google Ads,4.4,Livrée,602.0378000000001,210.71323,202.81323,2025-09,0,4,1207.0606500000001
CMD100063,2025-08-09,C0484,Kinshasa,Mode,Produit_Mode_27,51.33,1,0.18,9.46,Mobile Money,Google Ads,3.44,Livrée,42.0906,14.73171,1.8317099999999988,2025-08,0,3,1373.7621
CMD100064,2025-07-07,C0170,Douala,Mode,Produit_Mode_18,28.78,1,0.1,8.08,Mobile Money,Instagram Ads,8.22,Livrée,25.902,9.0657,-7.234300000000001,2025-07,0,16,5923.7144
CMD100065,2025-08-10,C0221,Douala,Mode,Produit_Mode_15,7.92,3,0.08,9.93,Paiement à la livraison,Google Ads,5.04,Retournée,21.859199999999998,7.650719999999999,-7.319280000000001,2025-08,1,12,2720.125
CMD100066,2025-08-21,C0942,Abidjan,Électronique,Produit_Électronique_15,422.02,1,0.25,7.32,Mobile Money,Instagram Ads,7.02,Livrée,316.515,110.78025,96.44025,2025-08,0,4,580.7244
CMD100067,2025-07-07,C0816,Abidjan,Mode,Produit_Mode_50,45.3,1,0.22,6.32,Carte,Email,1.57,Livrée,35.333999999999996,12.366899999999998,4.476899999999997,2025-07,0,2,59.31869999999999
CMD100068,2025-09-10,C0260,Douala,Mode,Produit_Mode_2,21.84,2,0.28,4.68,Virement,Email,0.68,Livrée,31.4496,11.00736,5.647360000000001,2025-09,0,16,4818.3107
CMD100069,2025-07-30,C0534,Lomé,Électronique,Produit_Électronique_3,206.39,1,0.07,8.23,Virement,Email,2.0,Livrée,191.94269999999997,67.17994499999999,56.949944999999985,2025-07,0,2,242.30669999999998
CMD100070,2025-07-28,C0176,Kinshasa,Électronique,Produit_Électronique_28,393.79,2,0.26,8.38,Virement,Instagram Ads,6.11,Livrée,582.8092,203.98322,189.49321999999998,2025-07,0,22,4780.5404
CMD100071,2025-12-03,C0236,Kinshasa,Électronique,Produit_Électronique_17,620.91,1,0.06,3.45,Mobile Money,Google Ads,4.26,Livrée,583.6554,204.27938999999998,196.56939,2025-12,0,17,6326.5935
CMD100072,2025-07-12,C0003,Douala,Maison,Produit_Maison_24,84.37,2,0.09,6.74,Mobile Money,Google Ads,4.28,Livrée,153.5534,53.74369,42.72369,2025-07,0,26,9474.8615625
CMD100073,2025-10-19,C0340,Libreville,Électronique,Produit_Électronique_43,121.03,1,0.07,7.89,Virement,Influenceur,10.79,Livrée,112.55789999999999,39.395264999999995,20.715264999999995,2025-10,0,20,5113.9787
CMD100074,2025-08-01,C0615,Libreville,Électronique,Produit_Maison_21,80.42,1,0.1,6.86,Paiement à la livraison,Instagram Ads,13.37,Livrée,72.378,25.3323,5.102300000000001,2025-08,0,2,139.338
CMD100075,2025-10-12,C1135,Dakar,Mode,Produit_Mode_43,38.11,2,0.05,4.77,Paiement à la livraison,Google Ads,5.69,Livrée,72.40899999999999,25.343149999999994,14.883149999999993,2025-10,0,4,1523.9499999999998
CMD100076,2025-10-06,C1848,Dakar,Mode,Produit_Mode_26,17.46,3,0.09,6.64,Virement,Instagram Ads,9.98,Livrée,47.665800000000004,16.683030000000002,0.06303000000000125,2025-10,0,2,86.09580000000001
CMD100077,2025-11-18,C0622,Kinshasa,Beauté,Produit_Beauté_38,22.91,1,0.1,3.48,Paiement à la livraison,Email,1.34,Livrée,20.619,7.21665,2.3966499999999993,2025-11,0,1,20.619
CMD100078,2025-12-03,C0952,Abidjan,Mode,Produit_Mode_33,19.56,3,0.17,4.35,Mobile Money,Instagram Ads,11.25,Livrée,48.70439999999999,17.046539999999997,1.446539999999997,2025-12,0,2,139.11919999999998
CMD100079,2025-10-30,C1965,Douala,Électronique,Produit_Beauté_19,375.34000000000003,2,0.04,9.57,Carte,Email,0.73,Livrée,720.6528000000001,252.22848000000002,241.92848000000004,2025-10,0,4,1663.208
CMD100080,2025-11-09,C1268,Kinshasa,Mode,Produit_Mode_44,23.34,3,0.26,3.57,Mobile Money,Influenceur,8.06,Livrée,51.8148,18.13518,6.5051799999999975,2025-11,0,1,51.8148
CMD100081,2025-09-18,C0101,Douala,Mode,Produit_Mode_40,66.28,1,0.09,7.78,Paiement à la livraison,Google Ads,3.5,Retournée,60.314800000000005,21.11018,9.830179999999999,2025-09,1,18,3839.1215
CMD100082,2025-07-19,C0322,Cotonou,Maison,Produit_Maison_32,185.86,1,0.03,2.98,Paiement à la livraison,Email,1.45,Livrée,180.2842,63.09947,58.66947,2025-07,0,19,3199.4
CMD100083,2025-10-11,C0335,Dakar,Maison,Produit_Maison_50,79.72,2,0.08,4.14,Carte,Influenceur,13.44,Livrée,146.6848,51.339679999999994,33.759679999999996,2025-10,0,11,2542.6812
CMD100084,2025-10-17,C0356,Abidjan,Mode,Produit_Mode_36,8.77,3,0.24,8.4,Carte,Influenceur,18.31,Livrée,19.9956,6.99846,-19.71154,2025-10,0,20,6600.6065
CMD100085,2025-09-02,C0248,Kinshasa,Mode,Produit_Mode_43,65.45,2,0.22,3.06,Paiement à la livraison,Google Ads,6.23,Livrée,102.102,35.7357,26.4457,2025-09,0,18,6660.048
CMD100086,2025-11-13,C1219,Dakar,Électronique,Produit_Maison_40,158.01,1,0.05,2.85,Paiement à la livraison,Google Ads,5.49,Livrée,150.1095,52.53832499999999,44.19832499999999,2025-11,0,2,178.8915
CMD100087,2025-11-07,C0280,Abidjan,Électronique,Produit_Électronique_48,464.75,3,0.06,5.35,Mobile Money,Influenceur,18.63,Livrée,1310.595,458.70824999999996,434.72824999999995,2025-11,0,21,5454.07525
CMD100088,2025-10-30,C0384,Douala,Mode,Produit_Mode_41,40.15,3,0.15,6.53,Paiement à la livraison,Instagram Ads,7.89,Livrée,102.3825,35.83387499999999,21.41387499999999,2025-10,0,18,6145.8629
CMD100089,2025-08-31,C0039,Dakar,Mode,Produit_Mode_18,42.98,2,0.17,8.77,Mobile Money,Instagram Ads,7.7,Livrée,71.34679999999999,24.971379999999993,8.501379999999994,2025-08,0,18,4123.5878999999995
CMD100090,2025-09-24,C0276,Kinshasa,Maison,Produit_Maison_15,100.8,1,0.23,8.55,Mobile Money,Instagram Ads,9.95,Livrée,77.616,27.165599999999998,8.665599999999998,2025-09,0,16,4738.713299999999
CMD100091,2025-10-07,C1446,Dakar,Beauté,Produit_Beauté_27,43.39,2,0.08,7.52,Paiement à la livraison,Instagram Ads,8.15,Livrée,79.83760000000001,27.943160000000002,12.273160000000003,2025-10,0,8,3501.003
CMD100092,2025-09-23,C0212,Kinshasa,Mode,Produit_Mode_25,59.27,1,0.26,9.55,Paiement à la livraison,Google Ads,4.11,Retournée,43.8598,15.350929999999998,1.6909299999999972,2025-09,1,20,6121.689
CMD100093,2025-11-27,C0040,Dakar,Électronique,Produit_Électronique_31,482.68,3,0.06,3.54,Paiement à la livraison,Influenceur,15.7,Livrée,1361.1576,476.40515999999997,457.16515999999996,2025-11,0,19,5380.2267
CMD100094,2025-07-02,C0611,Kinshasa,Électronique,Produit_Électronique_35,478.83,3,0.1,5.85,Paiement à la livraison,Email,1.48,Livrée,1292.8410000000001,452.49435,445.16434999999996,2025-07,0,3,1415.6013
CMD100095,2025-11-17,C1838,Douala,Maison,Produit_Maison_32,119.76,2,0.01,7.01,Paiement à la livraison,Google Ads,6.95,Livrée,237.12480000000002,82.99368,69.03367999999999,2025-11,0,4,529.9317
CMD100096,2025-07-08,C0342,Dakar,Maison,Produit_Maison_47,123.29,3,0.05,6.65,Paiement à la livraison,Instagram Ads,5.53,Livrée,351.37649999999996,122.98177499999998,110.80177499999998,2025-07,0,8,3080.7073
CMD100097,2025-08-12,C1883,Abidjan,Électronique,Produit_Électronique_26,527.86,2,0.04,4.3,Carte,Email,0.86,Retournée,1013.4911999999999,354.72191999999995,349.56191999999993,2025-08,1,1,1013.4911999999999
CMD100098,2025-11-29,C0013,Kinshasa,Mode,Produit_Mode_9,39.48,1,0.08,9.86,Paiement à la livraison,Instagram Ads,14.56,Livrée,36.3216,12.712559999999998,-11.707440000000002,2025-11,0,13,2969.3896
CMD100099,2025-10-27,C0133,Dakar,Maison,Produit_Maison_30,129.37,2,0.02,6.86,Mobile Money,Google Ads,7.71,Livrée,253.5652,88.74781999999999,74.17782,2025-10,0,16,3995.5735999999997
CMD100100,2025-09-22,C0194,Kinshasa,Mode,Produit_Mode_17,32.24,1,0.26,6.78,Paiement à la livraison,Influenceur,12.29,Livrée,23.8576,8.35016,-10.719839999999998,2025-09,0,16,5790.4078
CMD100101,2025-07-21,C0383,Kinshasa,Mode,Produit_Mode_15,31.02,3,0.22,6.3,Virement,Google Ads,4.12,Livrée,72.58680000000001,25.40538,14.98538,2025-07,0,15,4228.1659
CMD100102,2025-12-14,C0333,Douala,Beauté,Produit_Beauté_16,20.1,1,0.26,4.25,Carte,Instagram Ads,5.35,Annulée,14.874,5.2059,-4.3941,2025-12,0,15,4252.2508
CMD100104,2025-12-19,C0111,Douala,Mode,Produit_Mode_11,58.08,2,0.27,3.26,Virement,Email,1.28,Livrée,84.79679999999999,29.678879999999996,25.138879999999993,2025-12,0,12,4386.68995
CMD100105,2025-12-03,C1531,Abidjan,Électronique,Produit_Électronique_20,441.18,1,0.07,8.97,Mobile Money,Google Ads,3.79,Livrée,410.2974,143.60408999999999,130.84409,2025-12,0,2,658.4706
CMD100106,2025-07-28,C0159,Lomé,Électronique,Produit_Électronique_26,355.56,2,0.0,2.67,Paiement à la livraison,Influenceur,7.09,Livrée,711.12,248.892,239.132,2025-07,0,20,5697.3041
CMD100107,2025-12-31,C0303,Douala,Mode,Produit_Mode_45,27.5,3,0.05,5.46,Carte,Instagram Ads,13.19,Livrée,78.375,27.43125,8.781249999999998,2025-12,0,16,4711.2797
CMD100108,2025-09-16,C1229,Abidjan,Beauté,Produit_Beauté_23,29.46,2,0.07,6.66,Carte,Influenceur,5.08,Livrée,54.7956,19.178459999999998,7.438459999999997,2025-09,0,2,1025.778
CMD100109,2025-11-14,C0189,Dakar,Mode,Produit_Mode_1,29.44,3,0.3,5.07,Virement,Influenceur,13.51,Retournée,61.824,21.638399999999997,3.058399999999997,2025-11,1,18,3293.766
CMD100110,2025-10-16,C0216,Lomé,Électronique,Produit_Électronique_41,536.39,3,0.04,3.31,Virement,Google Ads,5.13,Livrée,1544.8032,540.68112,532.24112,2025-10,0,14,4247.9003
CMD100111,2025-10-26,C0891,Dakar,Beauté,Produit_Beauté_40,25.005000000000003,2,0.02,7.85,Virement,Google Ads,7.82,Livrée,49.009800000000006,17.15343,1.4834300000000002,2025-10,0,8,2663.1182
CMD100112,2025-11-15,C0952,Cotonou,Maison,Produit_Maison_21,46.13,2,0.02,8.91,Virement,Influenceur,9.9,Livrée,90.4148,31.645179999999996,12.835179999999996,2025-11,0,2,139.11919999999998
CMD100113,2025-09-01,C0177,Kinshasa,Mode,Produit_Mode_16,31.5,2,0.07,8.37,Paiement à la livraison,Instagram Ads,6.54,Livrée,58.589999999999996,20.5065,5.5965,2025-09,0,14,2170.8271
CMD100114,2025-10-27,C0342,Libreville,Électronique,Produit_Électronique_32,596.57,1,0.17,4.48,Carte,Instagram Ads,5.64,Livrée,495.1531,173.303585,163.18358500000002,2025-10,0,8,3080.7073
CMD100115,2025-09-22,C0108,Kinshasa,Mode,Produit_Mode_22,62.52,2,0.15,9.62,Virement,Google Ads,6.28,Livrée,106.284,37.1994,21.2994,2025-09,0,16,5010.4933
CMD100116,2025-09-10,C1436,Dakar,Électronique,Produit_Maison_34,95.18,1,0.0,9.53,Carte,Email,0.82,Livrée,95.18,33.313,22.963,2025-09,0,4,485.0108
CMD100117,2025-08-18,C0368,Douala,Électronique,Produit_Électronique_45,452.41,1,0.06,7.52,Mobile Money,Instagram Ads,5.79,Livrée,425.2654,148.84288999999998,135.53288999999998,2025-08,0,26,5448.0315
CMD100118,2025-10-30,C1005,Kinshasa,Beauté,Produit_Beauté_6,25.005000000000003,2,0.06,7.0,Carte,Email,0.95,Livrée,47.0094,16.45329,8.50329,2025-10,0,3,2309.6274000000003
CMD100119,2025-09-14,C0354,Dakar,Beauté,Produit_Beauté_31,32.4,3,0.27,6.21,Virement,Instagram Ads,10.48,Livrée,70.95599999999999,24.834599999999995,8.144599999999993,2025-09,0,16,5549.97305
CMD100120,2025-11-19,C0217,Kinshasa,Maison,Produit_Maison_23,78.74,3,0.0,6.34,Virement,Email,0.53,Livrée,236.21999999999997,82.67699999999998,75.80699999999997,2025-11,0,17,2204.0146
CMD100121,2025-12-27,C0156,Kinshasa,Mode,Produit_Mode_47,32.06,3,0.07,7.82,Carte,Google Ads,5.31,Livrée,89.4474,31.30659,18.17659,2025-12,0,23,7029.902
CMD100122,2025-08-19,C0380,Abidjan,Beauté,Produit_Beauté_13,15.19,2,0.06,9.21,Mobile Money,Influenceur,17.97,Livrée,28.557199999999998,9.995019999999998,-17.184980000000003,2025-08,0,17,2582.6647000000003
CMD100123,2025-08-25,C0566,Kinshasa,Mode,Produit_Mode_7,18.03,3,0.1,8.21,Virement,Instagram Ads,8.84,Livrée,48.681000000000004,17.03835,-0.011649999999999494,2025-08,0,5,681.8586
CMD100124,2025-08-19,C0184,Dakar,Électronique,Produit_Mode_46,19.22,2,0.26,6.12,Carte,Instagram Ads,9.92,Livrée,28.4456,9.95596,-6.084040000000001,2025-08,0,20,8547.39695
CMD100125,2025-11-14,C0023,Douala,Mode,Produit_Mode_41,61.66,2,0.13,6.79,Mobile Money,Google Ads,3.05,Livrée,107.2884,37.55094,27.710939999999997,2025-11,0,12,1585.7729
CMD100126,2025-11-03,C0006,Kinshasa,Mode,Produit_Mode_31,46.5,2,0.18,6.94,Paiement à la livraison,Instagram Ads,8.37,Livrée,76.26,26.691,11.380999999999998,2025-11,0,17,2348.4710999999998
CMD100127,2025-10-21,C0026,Kinshasa,Beauté,Produit_Beauté_8,22.6,1,0.04,8.91,Paiement à la livraison,Google Ads,6.53,Livrée,21.696,7.5936,-7.8464,2025-10,0,23,4838.6816
CMD100128,2025-07-17,C0037,Douala,Mode,Produit_Mode_10,35.18,2,0.08,2.33,Mobile Money,Instagram Ads,9.52,Livrée,64.7312,22.65592,10.805919999999997,2025-07,0,16,3098.5544999999997
CMD100129,2025-11-22,C0174,Brazzaville,Électronique,Produit_Électronique_36,345.88,3,0.29,5.91,Carte,Instagram Ads,11.39,Livrée,736.7243999999998,257.85353999999995,240.55353999999994,2025-11,0,20,5364.6714249999995
CMD100130,2025-10-15,C1619,Kinshasa,Beauté,Produit_Beauté_29,17.49,3,0.1,4.04,Paiement à la livraison,Instagram Ads,12.31,Livrée,47.223,16.52805,0.1780500000000007,2025-10,0,4,1094.9758000000002
CMD100132,2025-12-06,C0378,Dakar,Beauté,Produit_Beauté_41,30.11,1,0.06,8.93,Mobile Money,Google Ads,6.02,Livrée,28.303399999999996,9.906189999999999,-5.043810000000001,2025-12,0,18,4391.512
CMD100133,2025-08-24,C0041,Lomé,Maison,Produit_Maison_36,74.28,1,0.07,8.46,Mobile Money,Email,1.11,Livrée,69.0804,24.17814,14.608139999999999,2025-08,0,15,3557.925775
CMD100134,2025-07-20,C0209,Lomé,Beauté,Produit_Beauté_19,35.32,2,0.1,5.11,Paiement à la livraison,Email,1.05,Livrée,63.576,22.2516,16.0916,2025-07,0,13,4203.8433
